author,URL,text
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-09-INT-3-177-0000_EN.html,"Madam President, this proposal on batteries is welcome and timely. In the last two weeks, the rulebook on energy has been rewritten. The goals of geopolitics and the climate movement now converge on the need to phase out fossil fuels. As we move towards electrification in all spheres, batteries will play a crucial role in weaning ourselves off fossil fuels, including Russian sources, and this will result in healthier communities with cleaner air.

And with transport, we shouldn’t just promote a private electric vehicle for everyone. The resources required would be enormous, and it wouldn’t solve issues like congestion and road safety. So instead, let’s allocate the required rare earths and minerals smartly, for example, by electrifying public transport as part of our modal shift efforts.

And I strongly welcome the Parliament’s position on the batteries in waste batteries regulation. I welcome the expansionist scope to cover all batteries. The strengthening of the right to repair and removability requirements and provisions on due diligence and supply chains.

A cleaner mobility transition must not come at the expense of decent working conditions elsewhere, however. But Europe can lead the battery revolution, and it has a chance to do so fairly."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-14-INT-1-151-0000_EN.html,"Madam President, offshore energy is key to our climate plans. We’re fortunate that wind is a plentiful resource. This report from Morten Petersen is timely. More than 40 years ago, I visited Denmark for the first time and I saw wind turbines around Copenhagen harbour. I saw the future. Sometimes it takes a while for the good things to arrive.

Many countries have harnessed ocean energy, but there is vast untapped potential. Offshore wind is valuable, but we must better integrate this energy with our electricity demand. Making green hydrogen will help, but so too will the European supergrid. The Celtic Interconnector between Ireland and France is moving towards construction. But let’s connect the electricity grids of Ireland with Spain and Portugal to better use this wind resource. That’s a project of common interest that I think everybody would buy into.

But there’s also a nature angle on this. ‘It is a gift to nature’, as my colleague Margrete Auken says, because offshore wind farms can protect areas from bottom trawling. And I think that can be a good thing."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-12-15-INT-3-317-0000_EN.html,"Mr President, transport poverty is a widespread phenomenon in the European Union, and yet it scarcely features in our discussions on transport. There are varying definitions, but being transport poor is generally accepted to be someone who has little or no transport options for their daily needs, or transport spending pushes them below the poverty line or is excessively dangerous or time consuming. You could also add that exposure to things like air and noise pollution is higher amongst the most marginalised in society – think of the housing estates beside motorways versus the leafy suburbs. Many people in the European Union can be described as transport poor.

However, I would warn that some are trying to weaponise this issue to fight against crucial environmental measures, and these issues are not mutually exclusive. More public transport, more cycling, more shared mobility, more rail, means less transport poverty in rural and urban areas, as well as less of an impact on our environment.

I don’t believe that everyone needs an SUV or has a right to fly across Europe for a stag party. These acts are fuelling climate breakdown.

In the last couple of days we’ve heard about the accelerating collapse of the west Antarctic glacier, which could see sea levels rise by 65 centimetres. This is doomsday stuff, so I would ask the Commission not to succumb to those who portray the environmental discussion as meaning less mobility for people. In fact, it means more, safer and greener mobility for all, and we need to marry environmental and social justice."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-25-INT-4-142-0000_EN.html,"Mr President, there have been winners and losers in this awful pandemic. And I read this morning that container shipping companies made profits of almost USD 50 billion in the third quarter alone of this year, and that kind of money surpasses the profits of tech giants like Facebook, Amazon, Netflix and Google, despite the fact that most of the underlying costs for these companies haven’t changed. And these spiralling costs of shipping, up almost a thousand per cent for some routes from China to Europe, these are disrupting supply chains and they are increasing costs for consumers. And the impact of these increases, it tends to impact most on the less well-off and smaller countries. And, of course Covid and the Suez Canal blockage played a role, but we also know that there are competition concerns in the shipping centre. And when can we expect some action from the Commission on concentration in the market?

I do find it interesting that we constantly hear from the shipping industry and from some MEPs that tackling the climate crisis will negatively impact EU shipping’s competitiveness or be too expensive. And this argument is at the core of the opposition to even mild attempts to decarbonise the sector. Of course, such a short-sighted view conveniently ignores the fact that competitiveness is irrelevant if parts of the Earth are uninhabitable.

So my question to the shipping companies is, will you be investing the tens of billions of euro of profit into truly clean technologies to save us from the climate emergency? And another crucial and related issue is that some of our trade flows are inherently unsustainable, sending apples from New Zealand to Ireland is surely unsustainable and we need to tackle all of this.

So the true cost of some things in our economy is rarely reflected, and this is particularly true in the field of transport. If we’re serious about the price of carbon, we must take action. We must tackle the shipping sector and ensure that the decarbonise."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-24-INT-3-228-0000_EN.html," Mr President, as you said yourself, Commissioner, the good news is that renewables overtook fossil fuels as the EU’s main electricity source last year. We could only dream of this a decade ago. But the bad news is that we’re subsidising fossil fuels by over EUR 100 per year for every man, woman and child in the European Union. So when we see forest fires and floods and storms on our screens, in a sense we are paying for it with our taxes. And should we really be subsidising this and subsidising air pollution in Kraków, in Cremona, in Slavonski Brod? I don’t think so.

I think if you let the citizens of Europe decide – if you gave each of them a cheque for EUR 100 – they would spend the money on clean air, on fresh water, on solar power. They’d invest in energy storage, demand management with an ambition, a tenacity and a resolve that would put politicians to shame. This is the future that the citizens of Europe deserve."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-21-INT-4-053-0000_EN.html," Mr President, despite much fanfare, the Western Balkans Summit earlier this month turned out to be a disappointment. It failed in one of its most crucial tasks, that of offering a tangible and credible path to EU membership for those in the Balkans who continue to dream of a future within the European Union. Despite numerous enacting demands and targets, those countries continue to be offered only false promises.

The EU, of course, is the most successful peace project in history. Yet in a country so recently ravaged by war, we continue to undermine accession to this peace project. And I remember half a century ago the excitement in Ireland when we joined the European Economic Community. It brought economic, social and environmental progress to our island. And the longer we continue to dash Balkan people’s hopes of joining the EU, the more disillusionment will grow with the European project.

So we need to be clear in our demands regarding requirements for accession, but we cannot endlessly break promises. We can no longer play with people’s hopes and dreams because of domestic politics. Of course, internal reforms are needed and institutions need strengthening, but this is a separate and internal matter.

And I strongly regret the continuous undermining of the long stalled start to accession talks for North Macedonia and Albania by Bulgaria on very questionable grounds. And it’s wrong that some member states refuse to even consider setting 2030 as a target date for membership at the summit.

So I call on EU Member States to approve accession talks with these two countries as a matter of urgency and to set clear commitments to other Balkan states. We were given that option half a century ago, the least we can do is offer it to our colleagues in southern and Eastern Europe."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-20-INT-3-139-0000_EN.html,"Vice-President Silva Pereira, Commissioner Sinkevičius, there are links between the climate crisis and the issue of refugees coming from amongst the most disadvantaged people in the world. These were the words of David Puttnam in his Shirley Williams memorial lecture last week. Many refugees come from the developing world and the global south. We made a promise to developing countries in Copenhagen in 2009 that we would provide them with USD 100 billion of climate finance. Living up to our promises can help achieve this. It can also strengthen the practices and the efforts of indigenous people to address and respond to climate change. We must also listen to women. Women often have a strong body of knowledge and expertise that can be used in climate change mitigation, disaster reduction and adaptation strategies. Nations with greater female representation in positions of power have smaller carbon footprints."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-19-INT-2-312-0000_EN.html,"Mr President, I would like to say to Vice-President Vestager that on her appointment, the Commission President told her to be decisive and ambitious on the big issues that are changing the future of our society, our economy and the planet. Indeed, last month we heard Vice-President Timmermans speak about how environmental action 10 years earlier would have avoided the current energy crisis.

State aid can help us address the rise in gas prices by supporting energy efficiency measures in buildings. You know we need a massive investment in the deep retrofit or renovation of buildings, buildings like this one, which only has an E energy rating – and the ‘E’ doesn’t stand for Europe! State aid can help in the fight against energy poverty but the current guidelines don’t allow this. The category for the improvement of the energy and environmental performance of buildings only allows a 20% contribution from State aid. This needs to increase to at least 40%, and you have the power to make this happen."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-05-18-INT-2-356-0000_EN.html,"Mr President, young people’s lives have been hard hit by COVID. Just as their lives opened up, we said to them ‘Stay at home’. Now, as we open up, we need Erasmus to let young people spread their wings and learn, train and travel abroad, and not just university students but also those in vocational education, training and the sports programmes.

Brexit, like COVID, has also clipped their wings, the wings of young people. I support the Irish Government’s shared island approach to restore access for Northern Irish students to Erasmus+ and hopefully sports and youth exchanges will be included.

I had the privilege of studying abroad in Italy and I know the values of learning and living in another country, experiencing its life, its culture, its sports and its passions. The pandemic showed us that cooperation across borders is essential. Our experiences abroad show us who we are and programmes like Erasmus are key to our shared future."
Cuffe ,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-11-INT-4-093-0000_EN.html,"Madam President, I would say to the Executive Vice—President that local and regional authorities are on the front line when it comes to recovery from COVID. So let’s ensure that these local and regional voices are heard as we rebuild. They have the wisdom and the knowledge to do things right. It has to be a bottom—up as well as a top—down recovery.

In Ireland, the government asked the public for their views, and that is informing the recovery plans. This hasn’t been the case in every country in Europe.

Yet, across Europe, we can see local and regional authorities are ready. They are ready to build A—rated homes. They’re ready to roll out walking and cycling infrastructure and public transport. They’re ready to help communities with the digital transformation.

National governments must listen. Local and regional authorities are ready to fast track a green and digital recovery to the crisis. We must respect their views."
